ID,Answer,Count,Percentage,It became a relationship,Segment type_gender,Segment type_mobile,Segment type_university,Segment type_web,"Segment Description_Meridian, Idaho",Segment Description_SegDiscrip_Others
292890.897,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292887.987,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292894.0656,0,499.173606,0.225254764,0,1.0,0.0,0.0,0.0,1.0,0.0
292887.118,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292893.6561,0,455.925963,0.211359792,0,1.0,0.0,0.0,0.0,1.0,0.0
292896.2932,0,1091.176696,0.519163319,0,1.0,0.0,0.0,0.0,1.0,0.0
292889.6679,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
293223.0,1,1.0,0.333,0,0.0,0.0,1.0,0.0,0.0,1.0
292881.1384,0,878.0804633,0.22803111,0,0.0,1.0,0.0,0.0,1.0,0.0
292889.6084,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292890.3917,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292901.5235,0,445.4963738,0.271811915,0,1.0,0.0,0.0,0.0,1.0,0.0
292892.2684,0,1118.156938,0.434512318,0,1.0,0.0,0.0,0.0,1.0,0.0
292887.4288,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292897.9815,0,985.6569693,0.507626495,0,1.0,0.0,0.0,0.0,1.0,0.0
292884.2696,0,1411.022822,0.366268718,0,0.0,1.0,0.0,0.0,1.0,0.0
292902.2716,0,523.0411783,0.308201621,0,1.0,0.0,0.0,0.0,1.0,0.0
292889.3406,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
293009.0,0,71.0,0.563,0,0.0,0.0,1.0,0.0,0.0,1.0
292943.0117,1,8.497077758,0.193544549,1,0.0,0.0,1.0,0.0,0.0,1.0
292887.016,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
293099.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0
292882.5488,0,796.7761546,0.228494171,1,0.0,1.0,0.0,0.0,1.0,0.0
292883.4428,0,1774.392524,0.46052161,0,0.0,1.0,0.0,0.0,1.0,0.0
292897.8191,0,566.0816207,0.266645332,0,1.0,0.0,0.0,0.0,1.0,0.0
292899.4996,0,549.8374429,0.282329365,0,1.0,0.0,0.0,0.0,1.0,0.0
292890.8158,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292896.9177,0,489.23807,0.252960981,0,1.0,0.0,0.0,0.0,1.0,0.0
292889.5282,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
292899.5747,0,823.6773447,0.466830299,1,0.0,1.0,0.0,0.0,1.0,0.0
293163.0,1,8.0,0.32,0,0.0,0.0,1.0,0.0,0.0,1.0
293019.1113,0,26.12029246,0.279897696,1,0.0,0.0,1.0,0.0,0.0,1.0
292900.0206,0,544.8012092,0.287191936,0,1.0,0.0,0.0,0.0,1.0,0.0
293655.4053,0,4.900332844,0.5,1,0.0,0.0,1.0,0.0,0.0,1.0
292887.1403,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
293575.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0
292902.8277,0,507.7741982,0.309961158,0,1.0,0.0,0.0,0.0,1.0,0.0
293272.2777,1,4.36114724,0.323161887,1,0.0,0.0,1.0,0.0,0.0,1.0
292902.0408,0,525.2722908,0.306047443,0,1.0,0.0,0.0,0.0,1.0,0.0
292886.4858,0,796.2071312,0.283133154,1,0.0,1.0,0.0,0.0,1.0,0.0
293045.0,0,3.0,0.5,0,0.0,0.0,1.0,0.0,0.0,1.0
292900.8929,0,415.3851487,0.253366819,0,1.0,0.0,0.0,0.0,1.0,0.0
292890.6365,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0
293413.0,0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,1.0
292888.1764,0,795.9627904,0.306595346,1,0.0,1.0,0.0,0.0,1.0,0.0
293661.0,1,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0
292900.2625,0,755.8871411,0.444965328,0,1.0,0.0,0.0,0.0,1.0,0.0
293337.0,1,1.0,0.091,0,0.0,0.0,1.0,0.0,0.0,1.0
